id,username,created_at,lng,lat,text
1518717618332393472,ThuPlug,Mon Apr 25 22:24:31 +0000 2022,139.65925049999998,35.7060655,Elon really bought Twitter 😳
1518717643175469061,Patrici20765403,Mon Apr 25 22:24:37 +0000 2022,-89.5960515,40.6446025,I don't worship anyone but God
1518717645440258048,MileHighBrendan,Mon Apr 25 22:24:37 +0000 2022,-104.92209349999999,39.713563,"If Donald Trump ever called me a “good man,” I would have to immediately re-evaluate my life.That’s like Tommy Wi… https://t.co/A7pXOnder6"
1518717663966547970,FloridaBengals,Mon Apr 25 22:24:42 +0000 2022,-82.67290299999999,27.7957195,"If Elon Musk's goal was to buy a crappy company that used to be great a long time ago, he should've bought the Reds instead."
1518717673240104960,BrownsObsession,Mon Apr 25 22:24:44 +0000 2022,-82.985772,39.9946835,I give Elon Musk permission to interfere in any aspect of my life.
1518717680747954176,anamoncherie,Mon Apr 25 22:24:46 +0000 2022,-83.71224649999999,41.6930445,Never Jack again
1518717691925651456,elpachungis,Mon Apr 25 22:24:48 +0000 2022,-117.90564549999999,33.6636085,Elon is a Matrix insider. He’s just a bored billionaire entertaining himself. #ElonMusk
1518717726755213313,_meglet,Mon Apr 25 22:24:57 +0000 2022,-122.4359785,37.7706565,Well. I'm going to be deleting this app. Will leave my account alive for now in case Elon doesn't turn Twitter into… https://t.co/b5gA5BwKFb
1518717750079856648,SoFarTone,Mon Apr 25 22:25:02 +0000 2022,-87.732013,41.8335845,damn Elon really bought it?!
1518717755951828992,str8thinker,Mon Apr 25 22:25:04 +0000 2022,-79.861034,35.1704985,If Elon Musk buys Twitter I'm going to sit on my porch and have a beer. Wait! What? He did? Pops the cap on a Cold Mountain
1518717779771232256,JoshuaHosler,Mon Apr 25 22:25:09 +0000 2022,-104.789327,38.8885185,This is the idiocy that we are dealing with. Educational elitists think a degree makes you capable. This brainwashe… https://t.co/88KLIxVMnB
1518717785186217984,carlmascari,Mon Apr 25 22:25:11 +0000 2022,-88.129425,43.060621499999996,"DEAR TWITTER,   FINNALY  I GET THE FEELING  MY FOLLOWERS WON'T  BE DISAPPEARING AS IN THE PAST. I WILL SAY WHAT I… https://t.co/eBnEQl9p46"
1518717789493768192,mspowers,Mon Apr 25 22:25:12 +0000 2022,-78.76463150000001,43.009116500000005,"Whatever, Elon, whatever, build a damn edit button since you have all this cash. To throw around"
1518717810784059395,techadvfest,Mon Apr 25 22:25:17 +0000 2022,-4.2417514999999995,55.85830249999999,@ambi_valente @AP Get a life. Why do you think any shareholder is better than Elon?
1518717817016619008,lowriderpiano,Mon Apr 25 22:25:18 +0000 2022,-118.642692,34.208212,@elonmusk Only your best looking Elon. I called BS and too much liability. Let me know when you want to design a st… https://t.co/Ab7MNctgCg
1518717818803748865,WanHirwan1,Mon Apr 25 22:25:19 +0000 2022,116.050916,5.923265,Twitter accepts Elon Musk’s $44bn takeover offer - https://t.co/tbTGaIqAwm via @FT
1518717819508174848,ottis41,Mon Apr 25 22:25:19 +0000 2022,-83.157747,42.507217999999995,Living the life of illusionhttps://t.co/qItENsz1jm
1518717906569334784,gdonovan610,Mon Apr 25 22:25:39 +0000 2022,-74.280358,40.6098335,Now this stupid shit is coming here?
1518717917952720901,aaronuart,Mon Apr 25 22:25:42 +0000 2022,-0.18919,51.5037865,Elon Musk buying Twitter is bigger than just free speech! This has the potential to move the needle away from Faceb… https://t.co/DKTzQZBy2D
